ObjectID,GlobalId,Name,Description,ObjectType,Material,Volume (m³),Surface Area (m²),Top Elevation (m),Bottom Elevation (m)
1091209,0D2e3KH$LFrOwjkL8MX$5y,Basic Wall:_WC_L4 - PVC CLINIC BIOCLAD:4943499,N/A,Opening,No material assigned,22.14,149.67,28.68,27.56
1091375,0xrqwfV5P0nvwLzz3vkECT,Basic Wall:_WC_L4 - PVC CLINIC BIOCLAD:4943500,N/A,Opening,No material assigned,22.14,149.67,28.68,27.56
1091541,1lL_wfMgz4vubtXC3NBKd3,Basic Wall:_WC_L4 - PVC CLINIC BIOCLAD:4943501,N/A,Opening,No material assigned,22.14,149.67,28.68,27.56
1091707,0$LMaMQ2X82xvYoJ7DcpK4,Basic Wall:_WC_L4 - PVC CLINIC BIOCLAD:4943502,N/A,Opening,No material assigned,25.33,171.10,28.68,27.56
1091873,0P8Cr8VpL9LONvqC87lonI,Basic Wall:_WC_L4 - PVC CLINIC BIOCLAD:4943503,N/A,Opening,No material assigned,6.38,23.30,28.67,26.50
1092768,3fL$28sJz1gRxtNLc6agOs,Basic Wall:_WC_L4 - PVC CLINIC BIOCLAD:4943513,N/A,Opening,No material assigned,6.38,23.30,28.67,26.50
1093019,0qTRpMfz17vxxuAU$kSsAr,Basic Wall:_WC_L4 - PVC CLINIC BIOCLAD:4943515,N/A,Opening,No material assigned,0.25,4.94,28.67,26.50
1093178,0jXEQSsprDABufUMEoBMz5,Basic Wall:_WC_L4 - PVC CLINIC BIOCLAD:4943516,N/A,Opening,No material assigned,25.33,171.10,28.68,27.56
1093344,3_UROnrwDDwvQS3Ikst1hV,Basic Wall:_WC_L4 - PVC CLINIC BIOCLAD:4943517,N/A,Opening,No material assigned,25.33,171.10,28.68,27.56
1096081,30yj8TlDL5NuDX7IhvGI1V,Basic Wall:_WC_L1 - PVC CLINIC:4955616,N/A,Opening,No material assigned,7.04,24.34,19.67,17.50
1096106,3WH6EQ6dr34PKYh5TuDbGO,Basic Wall:_WC_L1 - PVC CLINIC:4955616,N/A,Opening,No material assigned,9.19,27.73,19.67,17.50
1096130,2vu$wvftTA$OP$sbY_EW5M,Basic Wall:_WC_L1 - PVC CLINIC:4955616,N/A,Opening,No material assigned,2.17,14.46,19.65,17.50
1096154,0Zdlg0aPDCZv_z_efdZDso,Basic Wall:_WC_L1 - PVC CLINIC:4955616,N/A,Opening,No material assigned,1.51,10.63,19.65,17.50
1096178,2g$KZrQdD6SvMVKuI0JJaV,Basic Wall:_WC_L1 - PVC CLINIC:4955616,N/A,Opening,No material assigned,9.19,27.73,19.67,17.50
2358684,0OzHFQzDv5YhOCNMwxs912,Basic Wall:_H-DW-1_12 cm:11091041,N/A,Opening,No material assigned,7.04,24.34,15.17,13.00
1096202,02mVFXZhP4fRdFw56dGnCg,Basic Wall:_WC_L1 - PVC CLINIC:4955616,N/A,Opening,No material assigned,0.14,1.87,19.00,18.25
1096655,30yj8TlDL5NuDX7IhvGI3v,Basic Wall:_WC_L1 - PVC CLINIC:4955618,N/A,Opening,No material assigned,7.04,24.34,19.67,17.50
1096680,0wanbiCiL9GhVErCOT922V,Basic Wall:_WC_L1 - PVC CLINIC:4955618,N/A,Opening,No material assigned,4.25,26.68,19.65,17.50
1097528,30yj8TlDL5NuDX7IhvGI51,Basic Wall:_WC_L1 - PVC CLINIC:4955626,N/A,Opening,No material assigned,7.04,24.34,19.67,17.50
1097553,0JzlZ3BZzAZBoCUfpAPb4d,Basic Wall:_WC_L1 - PVC CLINIC:4955626,N/A,Opening,No material assigned,4.25,26.68,19.65,17.50
1098033,0gqW1WC553_OWBvwjWO0XM,Basic Wall:_WC_L2 - PVC Toilet:4955630,N/A,Opening,No material assigned,6.38,23.30,19.67,17.50
1098652,0rVIrTfonF6Qo3yp1YtCF3,Basic Wall:_WC_L2 - PVC Toilet:4955636,N/A,Opening,No material assigned,5.72,22.26,19.67,17.50
1098903,1fGuqUIxzBkvKpjHG96KPG,Basic Wall:_WC_L2 - PVC Toilet:4955638,N/A,Opening,No material assigned,5.72,22.26,19.67,17.50
1099246,2a3DE8$9v3WgcWyObLI2WC,Basic Wall:_WC_L2 - PVC Toilet:4955641,N/A,Opening,No material assigned,6.38,23.30,19.67,17.50
1099958,3o_2mu3Tf8G8JFrtvu9fAm,Basic Wall:_WC_L2 - PVC Toilet:4955648,N/A,Opening,No material assigned,5.72,22.26,19.67,17.50
1100209,1KRL7JEjvCTRVYRvLwQhMJ,Basic Wall:_WC_L2 - PVC Toilet:4955653,N/A,Opening,No material assigned,6.38,23.30,19.67,17.50
1100234,0FBjP1nLvEDvhfLyDosing,Basic Wall:_WC_L2 - PVC Toilet:4955653,N/A,Opening,No material assigned,0.23,4.48,19.67,17.50
1100428,2IvzTRidH7AgD$34gDCbeS,Basic Wall:_WC_L2 - PVC Toilet:4955654,N/A,Opening,No material assigned,5.72,22.26,19.67,17.50
1100771,1r0hboShfEfx9BV0B9pMYx,Basic Wall:_WC_L2 - PVC Toilet:4955657,N/A,Opening,No material assigned,5.72,22.26,19.67,17.50
1101114,3foHaAGGn2bQmg7xXzVqg5,Basic Wall:_WC_L2 - PVC Toilet:4955660,N/A,Opening,No material assigned,6.38,23.30,19.67,17.50
1101139,0GIZODp0j0kQsr9o2cWQcd,Basic Wall:_WC_L2 - PVC Toilet:4955660,N/A,Opening,No material assigned,0.23,4.48,19.67,17.50
1101333,1PlpxeABjApQUj1BSgY$9O,Basic Wall:_WC_L2 - PVC Toilet:4955661,N/A,Opening,No material assigned,5.72,22.26,19.67,17.50
2358656,318BybHvn1qfSCdTy5_oW4,Basic Wall:_H-DW-1_12 cm:11034709,N/A,Opening,No material assigned,7.04,24.34,19.67,17.50
1101952,0_P0r93Wr71QfPqJWYAESX,Basic Wall:_WC_L1 - PVC CLINIC:4955667,N/A,Opening,No material assigned,6.38,23.30,19.67,17.50
1101977,2a3DE8$9v3WgcWyObLI2SR,Basic Wall:_WC_L1 - PVC CLINIC:4955667,N/A,Opening,No material assigned,11.84,31.91,19.67,17.50
1102264,02YizoqifDsRT8EwFNxGBc,Basic Wall:_WC_L1 - PVC CLINIC:4955669,N/A,Opening,No material assigned,0.93,7.16,19.60,17.50
1102289,0W2eAaxobEFwFjp22bE_tw,Basic Wall:_WC_L1 - PVC CLINIC:4955669,N/A,Opening,No material assigned,11.84,31.91,19.67,17.50
1104930,1iwG70gXj23gw1kkhqj2fM,Basic Wall:_H-BW-1 + H-WL-1:4978506,N/A,Opening,No material assigned,7.01,24.72,46.80,44.50
1104955,1iwG70gXj23gw1kkhqj2fN,Basic Wall:_H-BW-1 + H-WL-1:4978506,N/A,Opening,No material assigned,7.01,24.72,46.80,44.50
1104979,1iwG70gXj23gw1kkhqj2ff,Basic Wall:_H-BW-1 + H-WL-1:4978506,N/A,Opening,No material assigned,7.01,24.72,46.80,44.50
1105003,1iwG70gXj23gw1kkhqj2fe,Basic Wall:_H-BW-1 + H-WL-1:4978506,N/A,Opening,No material assigned,7.01,24.72,46.80,44.50
1106186,2rtQv8udL5jOUi$L56GmYx,Basic Wall:_H-BW-1 + H-WL-1:4978521,N/A,Opening,No material assigned,0.12,1.76,46.00,45.25
1107991,2xIBsDZlD0nhOoVKMUrVVw,Basic Wall:_H-BW-1 + H-WL-1:4978778,N/A,Opening,No material assigned,0.69,6.85,46.00,45.25
1108330,1iwG70gXj23gw1kkhqj2JQ,Basic Wall:_H-DW-1_12 cm:4978795,N/A,Opening,No material assigned,0.25,4.94,46.67,44.50
1109027,2xIBsDZlD0nhOoVKMUrULs,Basic Wall:_H-DW-1_12 cm:4978802,N/A,Opening,No material assigned,1.71,10.27,46.00,45.25
1109052,2xIBsDZlD0nhOoVKMUrULn,Basic Wall:_H-DW-1_12 cm:4978802,N/A,Opening,No material assigned,0.69,6.85,46.00,45.25
1110602,32eUpZK9v2NAg7DPnwOINz,Basic Wall:_H-WL-2_7 cm:924971,N/A,Opening,No material assigned,0.04,1.46,49.00,48.73
1110731,2xlD04GxD6MveNHpkI2hi$,Basic Wall:_H-BW-1 + H-WL-1:4979142,N/A,Opening,No material assigned,1.71,10.27,46.00,45.25
1110756,2rtQv8udL5jOUi$L56GmYw,Basic Wall:_H-BW-1 + H-WL-1:4979142,N/A,Opening,No material assigned,0.69,6.85,46.00,45.25
